Price,Close,High,Low,Open,Volume
Ticker,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS
Date,,,,,
2010-05-25,240.60946655273438,245.5795327231068,237.85787514967436,243.5158391708118,2297366
2010-05-26,253.83419799804688,256.1730454883243,242.17432603428298,243.51573466479294,3689464
2010-05-27,255.15834045410156,257.9443375827303,250.1195044812047,252.80230020313513,6883872
2010-05-28,258.2366943359375,259.16536007694265,252.97428312752666,257.89274561652553,2479374
2010-05-31,255.57110595703125,258.9590136272102,253.83416902610952,257.445630780546,3327660
2010-06-01,254.2469024658203,258.63224872245877,252.69913319877145,255.57109666377644,3136912
2010-06-02,259.42327880859375,261.2290092875399,253.24939611531923,253.76531910930382,2769330
2010-06-03,263.2756042480469,264.496618248128,256.2762338091589,261.40107915289633,1684434
2010-06-04,263.2411804199219,264.7373701521159,259.75011303073603,263.27558789240106,1368210
2010-06-07,259.079345703125,260.64430801359237,253.14623091603053,257.92712601122173,1734922
2010-06-08,258.03033447265625,262.08892517840087,256.9296943678024,259.3373354127484,2242222
2010-06-09,252.13168334960938,260.90237843518224,251.42659245308874,258.64951781767815,4867400
2010-06-10,258.1336364746094,258.99350868138686,251.08268437903376,251.08268437903376,1796036
2010-06-11,261.0915222167969,262.53611135621355,258.3055453709685,262.0201881630625,3237024
2010-06-14,268.6239318847656,270.7220105355923,260.7131118676727,262.5532289962028,3550492
2010-06-15,268.3087158203125,272.37135911552184,264.99908999562666,264.99908999562666,2642976
2010-06-16,271.3557434082031,273.1594201318297,268.72904218514464,272.1612608413779,2328816
2010-06-17,271.5308837890625,274.85803900202626,267.4682607110621,272.12627373398107,1528920
2010-06-18,274.2976379394531,276.293935003097,270.46265014963825,271.53083762961285,2225672
2010-06-21,275.8736877441406,278.08011257371464,274.78797170815017,277.694871597939,1907428
2010-06-22,272.7040710449219,275.4533425183278,270.8303450819521,274.9280023863793,1468324
2010-06-23,275.38336181640625,276.31147149893144,269.6221259855265,269.6746685623298,2959524
2010-06-24,270.8829650878906,276.15387497677006,268.8691606730315,275.38337162107206,3777510
2010-06-25,265.64703369140625,271.7059531905489,264.8064808023058,271.7059531905489,2037322
2010-06-28,267.8359680175781,268.676520959332,265.3318376347213,265.6295432656609,1153124
2010-06-29,264.00103759765625,267.9235832220199,262.31995272325867,267.9235832220199,2614662
2010-06-30,263.0203552246094,266.1373826319255,259.6056435555815,264.4212625760054,3316516
2010-07-01,256.3660888671875,262.67017301965933,254.17717075869035,262.67017301965933,3407744
2010-07-02,260.4986572265625,261.26916036614205,255.96321645436097,257.34661641785567,2943550
2010-07-05,258.81768798828125,262.28494296781463,258.1522483049674,262.24990745091935,2165596
2010-07-06,265.8748779296875,266.83800233302395,257.71457042957917,257.94222656628756,2760904
2010-07-07,267.78338623046875,268.7640383109653,262.3023499738631,266.6626776404375,2152934
2010-07-08,272.0561828613281,272.826686121754,269.5520739851293,270.37509844158416,2187564
2010-07-09,271.23321533203125,274.5778778081629,269.93737158245096,273.17697026832536,1836666
2010-07-12,277.27459716796875,278.08011463538526,273.10688916642414,273.10688916642414,2725776
2010-07-13,271.30316162109375,277.3795872096349,269.51699236261777,277.3795872096349,5545886
2010-07-14,271.30316162109375,274.8229361987144,269.7621553639158,272.4764126882525,2833842
2010-07-15,273.9123840332031,274.89303621817027,268.0110707385855,270.024874929042,3795536
2010-07-16,291.9667053222656,293.66529747874625,278.4304251587397,278.4304251587397,19135452
2010-07-19,289.53253173828125,292.33434644700804,288.3242448699129,291.1961092215878,3027924
2010-07-20,289.7252197265625,292.2818719687131,288.93720915613665,289.53259919568933,2342062
2010-07-21,295.2413024902344,295.8717066900714,290.54825306982065,291.388806253707,2943720
2010-07-22,295.486328125,296.29184541532084,291.5637840523104,295.24116511242966,1362882
2010-07-23,293.9453430175781,297.69277397698846,292.4743862121095,297.69277397698846,1894472
2010-07-26,297.4300537109375,298.2530779849967,294.33055566693884,295.03100913461253,2766490
2010-07-27,297.3950500488281,301.12495206970306,296.36187687243904,299.44386796338307,2106602
2010-07-28,299.2513732910156,300.4771674177115,296.6421786603896,298.04308623375624,4359228
2010-07-29,298.39129638671875,300.14653930664065,298.04024780273437,300.14653930664065,5331904
2010-07-30,294.81060791015625,298.39130789009863,293.1255789273322,298.04025929258086,1283426
2010-08-02,294.2838439941406,297.8469935166268,293.82748539885125,295.93377561676414,2827762
2010-08-03,292.08990478515625,296.4604629649259,290.8612350156154,295.2317931953851,1281552
2010-08-04,304.9909362792969,306.11429577842273,293.4238837762627,293.4765496224328,5583934
2010-08-05,308.1679992675781,309.7652875092246,303.88522356744846,306.114373565898,2912950
2010-08-06,303.5516052246094,310.1513119346775,302.12986325821583,308.9226423344835,2437734
2010-08-09,308.87017822265625,310.2217285213638,297.0222850541959,302.30558492666216,4259986
2010-08-10,303.4814147949219,310.6779087258599,302.3931730636899,310.6779087258599,1545194
2010-08-11,301.2523498535156,306.4654127367633,300.0763242455354,302.6038783265635,4020248
2010-08-12,299.60235595703125,300.8134776050749,297.0572542526311,300.8134776050749,2278092
2010-08-13,299.93585205078125,302.9197643513222,294.1786479827467,300.8485695957207,2589906
2010-08-16,299.8305969238281,302.796961841834,297.9700436524565,300.84864642156464,1319098
2010-08-17,298.4614562988281,302.2527760335003,296.28495118731036,298.42633859101096,1733196
2010-08-18,305.79833984375,307.4482720793568,298.39122506271326,299.4443705629346,2888916
2010-08-19,306.1319885253906,309.2387821120688,304.4645073421436,306.8165377174594,2148534
2010-08-20,305.0435485839844,308.8875333169922,302.9548060645604,305.0610967208609,1746396
2010-08-23,305.552734375,307.32552566109945,300.86622233551844,301.9018200733572,1049830
2010-08-24,305.6578674316406,309.5896140704537,303.65688712716207,305.4121292492844,2650474
2010-08-25,305.8335266113281,309.44932269332895,304.1133800020117,306.1143611895438,2379968
2010-08-26,307.6940002441406,308.5716214656014,301.9894623046457,306.8163790226799,4204428
2010-08-27,300.5150146484375,306.4652900287569,298.7422243006553,306.14933786027046,1276514
2010-08-30,296.8642272949219,302.88469732345743,294.91589061988657,302.88469732345743,1558570
2010-08-31,296.19720458984375,297.58385060325816,291.44050117472807,294.88077256944445,2447874
2010-09-01,301.34014892578125,302.25286678224285,294.88084564121255,295.58294289273925,2745484
2010-09-02,296.320068359375,304.5346128855407,295.4073507126023,304.5346128855407,2758800
2010-09-03,293.9329833984375,298.91787771726905,293.1606722065668,298.39130482639894,2777970
2010-09-06,300.2693786621094,301.024141640242,294.1786946874902,294.1786946874902,2287978
2010-09-07,305.8861389160156,307.13237838284783,300.49755235952875,301.19964944448094,2484236
2010-09-08,308.5892333984375,309.9407832146682,301.51561774693744,303.3059568383087,4189478
2010-09-09,307.0621643066406,309.80033865195827,305.8861388338799,309.62481438076736,2938158
2010-09-13,308.8349914550781,312.0821908537249,305.6580060584199,305.8861747820012,2349410
2010-09-14,314.3113098144531,315.59264558897854,309.02803343662794,309.9758688043026,3071038
2010-09-15,321.13922119140625,322.75405743721115,315.59265818050244,315.9437067435508,5560394
2010-09-16,314.32891845703125,320.665341269661,303.4815083726681,318.75212215428877,2334264
2010-09-17,320.7882385253906,322.52593355470214,315.9788679384153,315.9788679384153,3007978
2010-09-20,320.2440185546875,323.6316454086313,318.29570351632105,321.9114990568906,2419108
2010-09-21,334.8827819824219,336.30452438165554,319.55950359012655,320.1562904343109,4997184
2010-09-22,328.31817626953125,337.00662840817967,326.475171270424,335.60243412314554,4031066
2010-09-23,326.9489440917969,331.84607393634013,325.70272646053564,329.9855215574985,3327236
2010-09-24,327.1597595214844,329.2485030563359,324.71996737325634,327.56345257108313,2738784
2010-09-27,325.6325378417969,330.49457179267074,323.66667506700645,328.2303049757603,3423290
2010-09-28,322.84173583984375,326.5803892108013,320.8933996792381,324.80759871249103,2521714
2010-09-29,323.0874938964844,329.020222401478,321.17429662078683,324.71987807027705,3370194
2010-09-30,325.4045104980469,326.47520446398465,321.26214122129204,324.71996142923206,7560924
2010-10-01,337.5682678222656,339.11288997029106,323.66675419524677,325.42199689695633,3326156
2010-10-04,335.5321960449219,342.2723324146557,334.5492644011968,339.3761819096086,2140956
2010-10-05,333.5838928222656,339.09535947775476,332.14460230247266,333.4961306826123,2211664
2010-10-06,336.88360595703125,339.7797552598382,333.4959803232303,333.4959803232303,1838960
2010-10-07,333.0747985839844,339.1128368167052,329.42390719246185,337.0065459048002,1972940
2010-10-08,330.8983154296875,335.14601523688145,305.0611537833445,331.4073400521005,2695996
2010-10-11,330.3016357421875,334.88281567904363,326.1416969835616,330.8984012201157,3065370
2010-10-12,333.7418212890625,335.53216011174663,329.6696457350134,330.91588508112744,2608902
2010-10-13,348.5386047363281,350.241203354854,333.1802280105642,335.5849238508393,5350604
2010-10-14,346.1513366699219,352.4526609391027,344.8524530565003,349.96022539341914,2949086
2010-10-15,333.6014099121094,354.91005972170973,331.74085700990673,350.6974774104728,5717798
2010-10-18,344.46636962890625,345.4317530851911,326.4751324890525,340.5170736713774,4480734
2010-10-19,339.7271728515625,346.6252841826435,338.44583730516246,344.72961378479397,2200912
2010-10-20,338.1474914550781,344.20307850683014,335.67260364092675,338.5863021110022,2206638
2010-10-21,346.2041320800781,348.8896410024636,340.5171404998706,341.938883038346,3752354
2010-10-22,365.16064453125,368.3903165486992,358.77157876281575,358.77157876281575,9610404
2010-10-25,374.5511779785156,376.6574689675192,364.1074851580397,366.14358358844976,5156316
2010-10-26,373.024169921875,374.8320784728551,365.6346238686488,373.34012217830144,3507024
2010-10-27,367.9690246582031,374.49856111302347,366.3366833970986,372.11141414539014,2141382
2010-10-28,369.6190185546875,374.76188826707204,365.09048379098977,368.60096921205695,5255690
2010-10-29,369.6190185546875,372.1114546331242,361.9310469120293,372.1114546331242,2212398
2010-11-01,370.4982604980469,375.0705761187473,368.98586200369226,370.0234516934972,1147948
2010-11-02,369.1090087890625,372.81963649577403,367.08663811939203,371.06105330475623,1565778
2010-11-03,370.2873840332031,379.5023450241625,368.7398218614698,369.61911367107166,2217878
2010-11-04,376.0377197265625,379.3614236119426,373.3470798062266,373.5229380633185,1717440
2010-11-08,375.68603515625,380.69799590952834,373.5581328908479,379.85386761688335,2248586
2010-11-09,383.75799560546875,386.4310333314055,375.8092085780156,377.7084869133931,3504086
2010-11-10,384.1802062988281,389.7021418572523,381.9995367842502,384.162603288433,1540224
2010-11-11,374.49041748046875,383.3712656057393,372.20425855713177,383.3712656057393,1926096
2010-11-12,371.3775939941406,376.3016267583251,368.66935021334416,372.819623573963,1802330
2010-11-15,374.9300537109375,379.8013220883584,370.35773598275534,374.57833696261577,1389396
